疾病,总数,详论
哮喘,28,顺尔宁配合雾化吸入布地奈德混悬液与加减麻杏石甘汤联合治疗小儿支气管哮喘疗效观察
哮喘,29,支气管哮喘急性发作的中西医结合治疗
哮喘,30,对咳嗽变异性哮喘患儿进行中西医结合治疗的效果分析
哮喘,31,中西医结合治疗支气管哮喘的疗效观察
哮喘,32,中西医结合治疗儿童Ⅰ型糖尿病合并哮喘(阴虚痰饮型)验案1则
哮喘,33,咳嗽变异性哮喘的中医药治疗进展
哮喘,34,中西医结合诊治小儿咳嗽变异性哮喘
哮喘,35,中西医结合治疗冷哮型急性支气管哮喘50例临床观察
哮喘,36,中西医结合治疗对胃食管反流相关性哮喘肺功能的影响及疗效分析
哮喘,37,中西医结合治疗支气管哮喘(痰热郁肺)疗效观察
血小板减少症,1,中西医结合治疗血小板减少症的临床疗效
头痛,1,中西医结合治疗微血管减压术后头痛的效果研究
头痛,2,中西医结合治疗100例头痛患者的疗效观察
头痛,3,中西医结合治疗偏头痛的疗效观察及护理
头痛,4,基于多学科协作的头痛单元组建与运作分析
头痛,5,中西医结合治疗偏头痛的效果研究
头痛,6,中西医结合治疗腰硬联合麻醉术后头痛的疗效
头痛,7,中西医结合法用于治疗偏头痛患者的效果评价
头痛,8,中西医结合治疗顽固性头痛临床观察
头痛,9,李燕梅教授中西医结合治疗顽固性头痛验案2则
阑尾炎,1,中西医结合保守治疗慢性阑尾炎的临床体会
阑尾炎,2,中西医结合治疗妊娠并急性阑尾炎的预后分析
阑尾炎,3,中西医结合治疗阑尾炎性包块的临床效果分析
阑尾炎,4,中西医保守治疗阑尾炎的临床疗效
阑尾炎,5,中西医结合治疗急性阑尾炎疗效观察
阑尾炎,6,中西医结合治疗急性单纯性阑尾炎60例
骨质疏松症,1,中西医结合治疗老年骨质疏松症疼痛的临床观察
骨质疏松症,2,中西医结合治疗老年性骨质疏松症疗效分析
骨质疏松症,3,原发性骨质疏松症中西医结合治疗现状及研究进展
骨质疏松症,4,中西医结合治疗原发性骨质疏松症疗效观察
骨质疏松症,5,益肾地黄汤联合利塞膦酸钠治疗肾阳虚型绝经后骨质疏松症45例
骨质疏松症,6,骨质疏松症的中西医结合护理体会
骨质疏松症,7,中西医结合治疗糖尿病性骨质疏松症疗效观察
肛门直肠狭窄,1,中西医结合治疗肛门直肠狭窄的疗效分析
椎间盘突出症,1,中西医结合非手术治疗腰椎间盘突出症的护理体会
椎间盘突出症,2,中西医结合治疗腰椎间盘突出症382例
椎间盘突出症,3,中西医结合治疗腰椎间盘突出症患者的研究进展
椎间盘突出症,4,中西医结合应用于腰椎间盘突出症的治疗效果研究
椎间盘突出症,5,中西医结合治疗腰椎间盘突出症临床研究
椎间盘突出症,6,中西医结合保守治疗腰椎间盘突出症的疗效观察
椎间盘突出症,7,中西医结合治疗腰椎间盘突出症126例
椎间盘突出症,8,中西医结合治疗腰椎间盘突出症患者的临床疗效观察及对血清炎性因子的影响
胆结石,1,中西医结合护理对胆结石手术患者情绪及生活质量的影响分析
胆结石,2,中西医结合护理干预围术期胆结石患者临床效果观察
胆结石,3,中西医结合治疗胆结石的临床疗效分析
胆结石,4,中西医结合护理对胆总管切开取石术后患者胃肠功能及疲劳综合征的影响
咳嗽,1,中西医结合用药治疗小儿过敏性咳嗽的临床治疗体会
咳嗽,2,112例成人支气管肺炎(咳嗽)的中西医结合观察护理
咳嗽,3,中西医结合治疗感冒后咳嗽的临床疗效分析
咳嗽,4,社区医院中西医结合治疗呼吸道感染后咳嗽20例临床分析
咳嗽,5,中西医结合治疗小儿过敏性咳嗽35例临床观察
咳嗽,6,中西医结合治疗胃食管反流性咳嗽临床分析
咳嗽,7,儿童咳嗽变异性哮喘采用中西医结合治疗的临床疗效
昏迷,1,急诊内科抢救60例昏迷患者的临床诊断及中西医结合治疗效果
昏迷,2,中西医结合治疗急诊昏迷的临床效果研究
昏迷,3,中西医结合治疗急性呼吸衰竭造成昏迷患者苏醒的研究
消化不良,1,中西药结合治疗小儿消化不良性腹泻的效果观察
消化不良,2,中西医结合治疗脾胃湿热型功能性消化不良30例临床观察
消化不良,3,中西医结合治疗肝郁脾虚型功能性消化不良伴焦虑抑郁60例
消化不良,4,中西医结合治疗小儿消化不良
消化不良,5,中西医结合护理干预对功能性消化不良的临床疗效观察
消化不良,6,中西医结合治疗功能性消化不良43例
消化不良,7,中西医结合治疗功能性消化不良临床疗效累积meta分析
消化不良,8,中西医结合治疗功能性消化不良的临床价值分析
消化不良,9,中西医结合在功能性消化不良治疗中的研究进展
消化不良,10,中药治疗小儿功能性消化不良的研究进展
消化不良,11,中西医结合治疗功能性消化不良疗效观察
消化不良,12,中西医结合治疗功能性消化不良临床观察
消化不良,13,中西医结合治疗功能性消化不良的研究现状
消化不良,14,中西医结合治疗功能性消化不良的疗效分析
下肢静脉曲张,1,中西医结合治疗下肢静脉曲张研究近况
下肢静脉曲张,2,中西医结合治疗下肢静脉曲张疗效分析
腮腺炎,1,小儿流行性腮腺炎的中西医结合治疗进展
腮腺炎,2,小儿流行性腮腺炎中西医结合临床疗效观察
腮腺炎,3,中西医结合治疗小儿流行性腮腺炎的护理研究
心肌梗死,1,中西医结合治疗对心肌梗死PCI术后心肌再灌注及心功能的影响
心肌梗死,2,中西医结合治疗急性心肌梗死的临床疗效
心肌梗死,3,史大卓中西医结合治疗急性心肌梗死后左心室重构及左心房扩大案例二则
心肌梗死,4,中西医结合方法治疗急性心肌梗死的临床疗效
心肌梗死,5,急性心肌梗死恢复期患者中西医结合护理的效果分析
心肌梗死,6,中西医结合和优质护理对防治心肌梗死的疗效分析
心肌梗死,7,急性心肌梗死中西医结合诊疗分析
心肌梗死,8,中西医结合绿色通道对急性心肌梗死病人住院时间及不良事件发生率的影响
心肌梗死,9,中西医结合治疗急性心肌梗死合并心源性休克的临床观察
心肌梗死,10,中西医结合治疗心肌梗死后慢性心力衰竭伴频发室性期前收缩的临床疗效观察
心肌梗死,11,中西医结合治疗心肌梗死后心绞痛的临床效果观察
视神经萎缩,1,中西医结合治疗视神经萎缩的临床疗效观察
视神经萎缩,2,益肝复明汤联合西医治疗青光眼性视神经萎缩的临床疗效
视神经萎缩,3,中西医结合治疗青光眼视神经萎缩临床分析
胃炎,1,中西医结合在免疫性肝病合并胃炎的临床效果及安全性
胃炎,2,中西医结合治疗慢性萎缩性胃炎的临床观察
胃炎,3,中西医结合治疗慢性胃炎200例临床疗效分析
胃炎,4,中西医结合治疗慢性萎缩性胃炎疗效观察
胃炎,5,中西医结合治疗慢性浅表性胃炎肝胃不和型疗效观察
胃炎,6,中西医结合治疗慢性萎缩性胃炎伴肠上皮化生临床观察
胃炎,7,中西医结合治疗慢性胃炎Hp感染临床观察
胃炎,8,中西医结合治疗糜烂性胃炎临床观察
胃炎,9,中西医结合治疗胃炎42例的临床观察
胃炎,10,中西医结合治疗脾胃湿热型慢性胃炎临床研究
胃炎,11,中西医结合治疗慢性萎缩性胃炎的疗效观察
胃炎,12,慢性萎缩性胃炎的中西医结合治疗与护理体会
胃炎,13,中西医结合治疗慢性胃炎疗效观察
胃炎,14,清胃活血汤联合泮托拉唑钠治疗急性胃炎
胃炎,15,中西医结合法治疗胆汁反流性胃炎的临床疗效
胃炎,16,经方治疗急性肠胃炎220例临床观察
胃炎,17,中西医结合治疗肝胃郁热型慢性胃炎的临床观察及护理探讨
胃炎,18,中西医结合疗法治疗慢性胃炎的疗效观察
胃炎,19,中西医结合治疗慢性胃炎肝郁气滞证的临床研究
胃炎,20,中西医结合治疗幽门螺杆菌相关性胃炎
胃炎,21,中西医结合治疗萎缩性胃炎的临床疗效观察
胃炎,22,中西医结合治疗改善慢性萎缩性胃炎患者血清胃泌素-17、胃蛋白酶原水平临床研究
胃炎,23,中西医结合治疗胃炎及胃十二指肠溃疡的临床分析
胃炎,24,柴胡疏肝散联合西药治疗胆汁反流性胃炎随机平行对照研究
胃炎,25,中西医结合治疗幽门螺旋杆菌相关性慢性胃炎研究进展
胃炎,26,中西医结合治疗慢性胃炎伴糜烂的疗效观察
胃炎,27,中西医结合治疗慢性浅表性胃炎的临床疗效观察
胃炎,28,中西医结合治疗脾胃虚寒型慢性胃炎30例
胃炎,29,糜烂性胃炎的中医诊疗进展
胃炎,30,中西医结合治疗慢性胃炎疗效观察
胃炎,31,中西医结合治疗胆汁反流性胃炎疗效的观察
胃炎,32,中西医联合治疗急性肠胃炎的临床效果分析
胃炎,33,中西医结合治疗幽门螺旋杆菌相关慢性糜烂性胃炎的疗效观察
胃炎,34,中西医结合治疗胆汁反流性胃炎疗效观察
胃炎,35,探讨中西医结合治疗慢性胃炎的临床效果
胃炎,36,慢性胃炎的中西医结合治疗临床疗效评价
胃炎,37,中西医结合治疗慢性胃炎效果分析
胃炎,38,观察中西医联合治疗胃炎及胃十二指肠溃疡的临床效果
下肢动脉硬化性闭塞症,1,中西医结合治疗双下肢动脉硬化性闭塞症继发不安腿综合征1例报告
胃食管反流病,1,中西医结合治疗方案治疗胃食管反流病54例临床研究
胃食管反流病,2,疏肝健脾和胃方对难治性胃食管反流病患者食管黏膜PAR2及TRPV1蛋白表达的影响
消化性溃疡,1,中西医结合治疗老年消化性溃疡临床研究
消化性溃疡,2,中西医结合治疗消化性溃疡42例
消化性溃疡,3,中西医结合治疗消化性溃疡的疗效
消化性溃疡,4,社区消化性溃疡患者的临床治疗分析
消化性溃疡,5,李力强调理气机法治疗消化性溃疡经验介绍
消化性溃疡,6,中西医结合治疗消化性溃疡肝气犯胃型疗效观察
消化性溃疡,7,消化性溃疡中医药治疗研究进展
消化性溃疡,8,中西医结合治疗难治性消化性溃疡的临床疗效分析
消化性溃疡,9,中西医结合治疗消化性溃疡并出血的疗效观察
消化性溃疡,10,中西医结合治疗脾虚胃热型消化性溃疡临床观察
消化性溃疡,11,对幽门螺旋杆菌相关性消化性溃疡应用中西医联合疗法的效果观察
消化性溃疡,12,中西医结合治疗消化性溃疡60例
消化性溃疡,13,中西医结合治疗80例糖尿病合并消化性溃疡
盆腔炎,1,中西医结合治疗慢性盆腔炎合并盆腔积液40例总结
盆腔炎,2,中西医结合治疗妇科慢性盆腔炎临床分析
盆腔炎,3,盆腔炎性包块运用中西医结合治疗的临床分析
盆腔炎,4,中西医结合治疗慢性盆腔炎患者的护理体会及疗效观察
盆腔炎,5,中西医结合治疗慢性盆腔炎的护理观察
盆腔炎,6,中西医结合治疗慢性盆腔炎临床疗效
盆腔炎,7,中西医结合法治疗慢性盆腔炎的临床疗效观察
盆腔炎,8,中医药防治盆腔炎性疾病优势与证据研究进展
盆腔炎,9,中西医结合治疗急性盆腔炎湿热瘀结证临床研究
盆腔炎,10,曹保利中西医结合治疗盆腔炎性包块临床经验
盆腔炎,11,中西医结合法治疗慢性盆腔炎性疾病的临床疗效观察
盆腔炎,12,中西医结合治疗慢性盆腔炎疗效观察
盆腔炎,13,阿奇霉素联合妇康健合剂对支原体属感染性盆腔炎患者子宫血流动力学的影响
盆腔炎,14,中西医结合对比西药治疗120例盆腔炎的临床研究
盆腔炎,15,慢性盆腔炎妇科临床治疗效果观察
盆腔炎,16,中西医结合治疗慢性盆腔炎的疗效观察
盆腔炎,17,中西医结合对盆腔炎的临床治疗分析
盆腔炎,18,中西医结合治疗慢性盆腔炎的疗效观察
盆腔炎,19,慢性盆腔炎妇产科治疗效果的观察与分析
盆腔炎,20,慢性盆腔炎性疾病的治疗时机与方式、方法
盆腔炎,21,中西医结合治疗盆腔积液合并慢性盆腔炎临床观察
盆腔炎,22,中西综合治疗慢性盆腔炎140例分析
盆腔炎,23,中西医结合治疗慢性盆腔炎120例护理体会
盆腔炎,24,综合方案治疗慢性盆腔炎效果观察
盆腔炎,25,中西医结合治疗慢性盆腔炎的疗效观察
盆腔炎,26,中西医结合治疗妇科慢性盆腔炎38例观察
盆腔炎,27,中西医结合治疗慢性盆腔炎的妇产科临床探讨
肺癌,1,中晚期非小细胞肺癌患者采用中西医结合疗法的临床治疗效果研究
肺癌,2,原发性非小细胞肺癌不同姑息治疗方法的效果分析
肺癌,3,中西医结合治疗老年晚期非小细胞肺癌疗效及安全性探讨
肺癌,4,中西医结合疗法对老年晚期非小细胞肺癌临床疗效的影响分析
肺癌,5,中医药治疗肺癌的研究进展
肺癌,6,原发性肺癌合并糖尿病中西医结合临床治疗分析
肺癌,7,肺癌中西医结合护理经济效用浅析
肺癌,8,李平论治肺癌经验
肺癌,9,中西医结合疗法对老年晚期非小细胞肺癌临床疗效的影响
肺癌,10,中西医结合治疗老年晚期非小细胞肺癌疗效观察
肺癌,11,50例肺癌患者中西医结合治疗后舌脉象参数的变化
肺癌,12,中西医结合治疗小细胞肺癌41例
肺癌,13,原发性肺癌的中西医研究进展
肺癌,14,高萍教授治疗肺癌经验
肺癌,15,中西医结合治疗老年晚期非小细胞肺癌的效果
肺癌,16,益气除痰方对肺癌化疗患者全血细胞计数的影响
肺癌,17,中西医结合治疗老年晚期非小细胞肺癌疗效观察
肺癌,18,中西医结合治疗肺癌临床思路
肺癌,19,中西医结合治疗原发性支气管肺癌临床效果观察
肾病综合征,1,中西医结合治疗小儿原发性肾病综合征的系统评价与Meta分析
肾病综合征,2,中西医结合治疗原发性肾病综合征的疗效观察
肾病综合征,3,中西医联合治疗小儿肾病综合征的临床观察
肾病综合征,4,中西医结合防治女性肾病综合征复发的临床研究
肾病综合征,5,中西医结合治疗原发性肾病综合征水肿期有效性分析
肾病综合征,6,中西医结合治疗肾病综合征临床疗效观察
肾病综合征,7,用中西医结合疗法治疗原发性肾病综合征的效果分析
肾病综合征,8,小儿肾病综合征的中医认识及治疗进展
肾病综合征,9,汤水福中西医结合辨治原发性肾病综合征经验介绍
肾病综合征,10,中西医结合治疗原发性肾病综合征疗效观察
失眠症,1,抑郁性失眠症的治疗研究
流产,1,中西医结合治疗先兆流产和习惯性流产43例
流产,2,复发性流产的中西结合治疗的临床效果
流产,3,补肾益气方联合黄体酮治疗黄体功能不全所致自然流产临床观察
流产,4,使用中西医结合疗法治疗妊娠早期肾虚型先兆流产的效果观察
流产,5,中西医结合治疗复发性流产的研究进展
流产,6,先兆流产患者采用中西医结合保胎对分娩结局的影响
流产,7,中西医结合治疗对原因不明复发性流产患者性激素及外周血免疫细胞的影响
流产,8,中西医结合治疗肾虚型先兆流产44例
流产,9,中西医结合治疗早期先兆流产的临床观察
流产,10,复发性流产与生殖系统感染治疗
流产,11,流产导致阴道不规则出血患者治疗的效果分析
肝炎,1,中西医结合治疗慢性乙型肝炎合并非酒精性脂肪性肝炎的临床观察
肝炎,2,心理行为干预联合中西医治疗慢性乙型肝炎的临床效果观察
肝炎,3,中西医结合治疗乙型肝炎肝纤维化的理念
肝炎,4,中西医结合治疗慢性乙型肝炎疗效观察
肝炎,5,中西医结合治疗对乙型肝炎腹水患者生存质量的影响评价
肝炎,6,慢性病毒性肝炎重症化倾向期中西医结合诊疗方案临床效果
肝炎,7,慢性乙型重型肝炎早中期中西医结合治疗临床探讨
肝炎,8,中西医结合治疗成人巨细胞病毒合并EB病毒感染致急性肝炎1例报告
肿瘤,1,中西医结合护理措施在恶性肿瘤化疗后呕吐中的应用
肿瘤,2,研究中西医联合化疗治疗恶性肿瘤(失去手术机会或术后复发)的临床疗效
肿瘤,3,中西医结合对腹部肿瘤放化疗患者的临床影响观察与分析
肿瘤,4,谢广茹二元分类分阶段治疗肿瘤经验介绍
肿瘤,5,肿瘤中医治疗新理念 全程介入——访江苏省中西医结合医院肿瘤科主任医师、教授 霍介格
肿瘤,6,中西医结合治疗腹部肿瘤术后胃瘫的临床效果分析
肿瘤,7,中西医结合治疗脑肿瘤的临床护理研究进展
肿瘤,8,食管肿瘤中西医结合肠内营养支持效果研究
肿瘤,9,恶性肿瘤姑息治疗临床经验回顾
肿瘤,10,研究对肿瘤性贫血采用中西医结合治疗的临床疗效
肿瘤,11,谈中西医结合肿瘤学研究生的专业素养
肿瘤,12,中西医结合治疗恶性肿瘤临床效果及其预后情况分析
肿瘤,13,探讨中西医结合治疗恶性肿瘤的临床效果
肿瘤,14,中西医结合治疗恶性肿瘤骨转移的临床疗效分析
肿瘤,15,中西医结合姑息治疗恶性肿瘤的现状与展望
肿瘤,16,中医护理技术在恶性肿瘤患者临床应用现状调查及影响因素分析
肿瘤,17,中西医结合治疗恶性肿瘤化疗后白细胞减少症疗效观察
肿瘤,18,中西医结合治疗胃肠道肿瘤的效果分析
肿瘤,19,中西医结合治疗胃肠道肿瘤临床疗效分析
肿瘤,20,中西医结合治疗晚期恶性肿瘤疗效观察
肿瘤,21,中医药对晚期非小细胞肺癌患者血清肿瘤标志物的干预作用
肺炎,1,人性化护理干预联合自拟四子散热敷双肺腧穴在小儿肺炎患者中的应用效果
肺炎,2,中西医结合治疗高龄老人医院获得性肺炎的临床观察
肺炎,3,中西医结合治疗呼吸机相关性肺炎临床效果
肺炎,4,中西医结合治疗小儿肺炎支原体肺炎的临床观察
肺炎,5,中西医结合治疗婴幼儿肺炎克雷伯杆菌肺炎的效果及其对免疫功能的影响
肺炎,6,浅析用中西医结合疗法治疗小儿肺炎的临床效果
肺炎,7,中西药结合治疗婴幼儿支气管肺炎抗生素相关性腹泻的临床疗效观察
肺炎,8,清热化痰汤联合头孢唑肟钠治疗小儿支气管肺炎35例
肺炎,9,对支原体肺炎患儿实施中西医结合临床路径护理的效果探析
肺炎,10,中西医结合治疗呼吸机相关性肺炎的疗效探讨
肺炎,11,小儿肺炎的中西医结合及辅助治疗研究进展
肺炎,12,中西医结合治疗小儿肺炎支原体肺炎42例疗效观察
肺炎,13,肺炎支原体肺炎应用中西医结合治疗的临床研究
肺炎,14,中西医结合治疗小儿迁延性肺炎临床分析
肺炎,15,中西医结合(中药穴位贴敷联合阿奇霉素)治疗小儿支原体肺炎的临床疗效分析
肺炎,16,中西医结合治疗婴幼儿支气管肺炎效果观察
肺炎,17,益气化痰法对重症肺炎患者血清sTREM-1水平变化的研究
肺炎,18,中西医结合治疗小儿呼吸机相关性肺炎疗效分析
肺炎,19,中西医结合治疗水牛急性肺炎
肺炎,20,小儿病毒性肺炎的中医药治疗进展
肺炎,21,中西医结合治疗小儿支原体肺炎临床观察
肺炎,22,中西医结合治疗小儿支原体肺炎多中心疗效评价研究
肺炎,23,中医药防治社区获得性肺炎的文献研究
肺炎,24,中西医结合治疗对儿童支原体肺炎预后的影响观察
肺炎,25,加味麻杏石甘汤对小儿支原体肺炎痰热证临床症状的改善作用
肺炎,26,中西医结合护理在小儿吸入性肺炎中的应用
肺炎,27,加味麻杏石甘汤对小儿支原体肺炎痰热证的疗效研究
肺炎,28,中西医结合治疗呼吸机相关性肺炎临床研究
肺炎,29,依据中医“肺与大肠相表里”采用中西医结合治疗重症肺炎患儿疗效观察
肺炎,30,小儿病毒性肺炎80例中西医结合治疗的效果观察
肺炎,31,血必净治疗重症肺炎作用机制研究进展
肺炎,32,基于疗效优势的中医治疗社区获得性肺炎切入点的思考
肺炎,33,中西医结合治疗小儿支气管肺炎临床效果观察
肺炎,34,中西医结合治疗小儿支气管肺炎的临床分析
肺炎,35,卒中相关性肺炎研究进展
肺炎,36,中西医结合治疗老年肺炎吸收不良50例临床观察
肺炎,37,小儿支气管肺炎的临床诊治新进展
肺炎,38,小儿肺炎治疗过程中应用综合护理的临床效果分析
肺炎,39,中西医结合治疗社区获得性非重症肺炎72例疗效观察
肺炎,40,中西医结合治疗非小细胞肺癌放疗后急性放射性肺炎32例临床研究
肺炎,41,中西医治疗儿童支原体肺炎风热闭肺证60例
肺炎,42,中西医结合治疗重症肺炎患者的疗效观察
肺炎,43,中西医结合治疗支原体肺炎临床观察
肺炎,44,中西医结合治疗儿童大叶性肺炎36例临床观察
肺炎,45,中西医结合治疗小儿腺病毒性肺炎56例临床观察
肺炎,46,中西医结合治疗山羊传染性胸膜肺炎的体会
肺炎,47,中西医结合治疗重症肺炎致呼吸衰竭疗效及安全性评价
肺炎,48,中西医结合治疗呼吸机相关性肺炎患者的临床价值研究
艾滋病,1,中西医结合治疗艾滋病的机遇与挑战
便秘,1,中西医结合改善神经内科患者便秘的研究
便秘,2,中西医结合治疗重度直肠前突合并直肠内脱垂型便秘的临床研究
便秘,3,中西医结合护理预防胸腰椎骨折术后腹胀便秘的临床价值研究
便秘,4,生物反馈联合针灸及化瘀通便汤对盆底失弛缓型便秘的治疗效果
便秘,5,中西医结合治疗62例老年功能性便秘患者的疗效与安全性分析
便秘,6,吴文尧教授治疗便秘临床经验
便秘,7,中西医结合治疗老年性便秘的效果研究
便秘,8,中西医结合治疗习惯性便秘的效果研究
便秘,9,老年性便秘的中西医结合延续性护理探究
便秘,10,中西医对功能性便秘认识现状
乳腺增生,1,中西医结合治疗乳腺增生症的疗效与护理
乳腺增生,2,中西医结合治疗乳腺增生疗效观察
乳腺增生,3,对行中西医结合治疗的乳腺增生症患者实施中医护理的效果探析
肾功能衰竭,1,探讨中西医结合治疗糖尿病肾病慢性肾功能衰竭的疗效及护理方法
肾功能衰竭,2,中西医结合治疗慢性肾功能衰竭伴继发性甲状腺旁腺功能亢进骨病的临床疗效观察
肾功能衰竭,3,中西结合治疗中青年慢性肾功能衰竭概况
肾功能衰竭,4,中西医结合治疗慢性肾功能衰竭临床研究
肾功能衰竭,5,中西结合护理在老年肾功能衰竭患者血液透析治疗中的应用
肾功能衰竭,6,中西医结合治疗慢性肾功能衰竭的疗效观察
冠心病,1,中西医药物结合治疗高血压合并冠心病的临床疗效分析
冠心病,2,中西医结合治疗高血压合并冠心病临床研究
冠心病,3,中西医结合治疗冠心病急性心肌梗死患者的临床疗效及安全性
冠心病,4,浅谈中西医结合治疗老年冠心病合并肺心病的临床治疗体会
冠心病,5,中西医结合治疗冠心病心脉瘀阻型疗效观察
冠心病,6,冠心病合并心理障碍临床治疗方法的研究
冠心病,7,中西医结合治疗冠心病合并高血压患者的效果分析
冠心病,8,中西医结合治疗老年冠心病心衰的临床观察
冠心病,9,中西医结合联合体外反搏治疗对冠心病患者临床研究及对血清超氧化物歧化酶的影响
冠心病,10,冠心病中西医结合随机对照临床研究:进展与展望
冠心病,11,中西医结合治疗冠心病心律失常疗效观察
冠心病,12,中西医结合治疗冠心病的临床疗效及对内皮功能的影响
冠心病,13,心可舒片治疗冠心病合并焦虑抑郁状态疗效的Meta分析
冠心病,14,冠心病合并血脂异常的中西医研究进展
冠心病,15,中西医结合治疗冠心病的临床疗效及对内皮功能影响的探究
冠心病,16,中西医结合治疗冠心病心律失常的疗效观察及评估
冠心病,17,中西医结合治疗冠心病心绞痛60例临床疗效观察
冠心病,18,冠心病心绞痛心血管内科治疗的临床研究
冠心病,19,中西医结合治疗冠心病冠脉支架植入术后再发心绞痛临床分析
冠心病,20,中西医结合治疗冠心病心绞痛的临床分析
冠心病,21,中西医结合治疗缓解期冠心病心绞痛
冠心病,22,冠心病心绞痛的临床治疗及疗效初步评定与报告
冠心病,23,中西医结合治疗老年冠心病患者护理观察
冠心病,24,中西医结合治疗气阴两虚、痰热瘀阻型冠心病20例临床研究
冠心病,25,中西医结合治疗冠心病心绞痛的临床疗效观察
冠心病,26,病证结合治疗冠心病多中心随机对照临床研究
冠心病,27,中西医结合治疗冠心病不稳定型心绞痛临床观察
冠心病,28,中西医结合护理干预在冠心病护理中的应用探析
冠心病,29,中西医结合治疗冠心病54例临床分析
冠心病,30,中西医结合治疗冠心病气虚血瘀型疗效观察
冠心病,31,心竭宁方治疗冠心病慢性心力衰竭临床疗效观察
冠心病,32,中西医结合康复治疗冠心病PCI术后的临床效果观察
冠心病,33,中西医结合护理在冠心病介入治疗中的应用
冠心病,34,观察中西医结合护理对冠心病心绞痛患者疗效的影响
冠心病,35,中西医结合治疗100例冠心病心绞痛的疗效观察
冠心病,36,中西医结合治疗冠心病心绞痛
冠心病,37,探讨在冠心病心绞痛患者中应用中西医结合护理干预的效果
冠心病,38,中西医结合治疗冠心病心绞痛的疗效及应用优势探析
冠心病,39,探讨中西医结合治疗冠心病心绞痛的临床效果
冠心病,40,中西医结合对冠心病心绞痛的治疗体会
冠心病,41,中西医结合治疗对冠心病稳定型心绞痛的心绞痛发作次数及生活质量的影响
冠心病,42,中西医结合治疗冠心病心绞痛58例疗效观察
肛窦炎,1,中西医结合治疗肛窦炎的临床疗效观察
细菌性痢疾,1,细菌性痢疾的治疗效果观察
细菌性痢疾,2,中西医结合治疗小儿细菌性痢疾的临床效果分析
过敏性紫癜,1,循证中西医结合护理过敏性紫癜患儿效果分析
过敏性紫癜,2,中西医结合治疗儿童过敏性紫癜临床疗效观察
过敏性紫癜,3,中西医结合治疗小儿过敏性紫癜的护理效果分析
过敏性紫癜,4,小儿过敏性紫癜中西医结合护理体会
过敏性紫癜,5,孟鲁司特联合丹参酮对儿童过敏性紫癜患者血清炎症因子的影响及疗效观察
过敏性紫癜,6,中西医结合治疗胃肠积热所致小儿过敏性紫癜的临床观察
带下病,1,中医妇科学中带下病的中西医结合教学方法探析
中风,1,中西医结合治疗气虚血瘀型脑中风后遗症康复的临床观察
中风,2,中西医结合治疗中风后遗症疗效观察
中风,3,中西医结合护理在中风病中的应用效果评价
中风,4,中西医结合治疗缺血性中风恢复期痰瘀阻络证评分观察
中风,5,中西医结合治疗中风的临床疗效
中风,6,对中风病气虚血瘀证患者实施中西医结合康复护理干预的效果分析
中风,7,中西医结合康复护理干预在中风气虚血瘀证中的应用效果
中风,8,研究对缺血性中风进行中西医结合治疗的临床效果
中风,9,五位一体护理模式在脑中风患者中的应用
中风,10,中西医结合治疗缺血性脑中风的疗效及对血液流变学指标的影响分析
中风,11,中西医结合治疗缺血性脑中风疗效探讨及其对血液流变学影响的临床观察
中风,12,中西医结合治疗风痰瘀血痹阻脉络型中风临床观察
中风,13,中风后遗症患者中西医结合护理体会
中风,14,中西医结合治疗缺血性中风急性期30例疗效观察
中风,15,中西医结合治疗缺血性中风气虚血瘀型临床观察
中风,16,中西医结合治疗气虚血瘀型中风临床观察
湿疹类皮肤病,1,中西医结合治疗皮炎湿疹类皮肤病100例临床研究
烟酸缺乏症,1,龚丽萍中西医结合治疗烟酸缺乏症1例报道
药疹,1,中西医结合治疗大疱性表皮松解坏死型药疹1例临床报道
脑卒中,1,半夏白术天麻汤加减联合依达拉奉治疗急性缺血性脑卒中疗效分析
脑卒中,2,中西医结合治疗缺血性脑卒中失眠症疗效观察
脑卒中,3,中西医结合治疗缺血性脑卒中的疗效观察
脑卒中,4,中西医结合治疗脑卒中后痉挛性偏瘫阴虚风动型临床分析
脑卒中,5,中西医结合治疗缺血性脑卒中疗效观察
脑卒中,6,脑卒中偏瘫病人康复期中西医结合护理的康复效果观察
脑卒中,7,中西医结合治疗缺血性脑卒中的临床疗效
脑卒中,8,中西医结合治疗急性缺血性脑卒中疗效观察
脑卒中,9,中医药治疗脑卒中进展
脑卒中,10,中西医治疗缺血性脑卒中的研究进展
脑卒中,11,中西医结合治疗脑卒中后早期心理康复与肢体功能恢复的相关研究
脑卒中,12,脑卒中恢复期患者康复护理路径的构建与应用
脑卒中,13,中西医结合治疗急性缺血性脑卒中的疗效及对血清超敏C反应蛋白与血液流变学指标的影响
脑卒中,14,中西医结合治疗缺血性脑卒中88例临床总结
脑卒中,15,浅谈中西医结合治疗对急性缺血性脑卒中患者预后的影响效果
脑卒中,16,"中西医结合治疗对急性缺血性脑卒中患者TNF-α,hs-CRP,IL-6和神经功能的影响"
慢性阻塞性肺疾病,1,中西医结合治疗慢性阻塞性肺疾病急性加重期的临床疗效
慢性阻塞性肺疾病,2,中西医结合健康教育路径在老年慢性阻塞性肺疾病中的护理干预
慢性阻塞性肺疾病,3,中西医结合治疗COPD急性加重期90例疗效分析
慢性阻塞性肺疾病,4,中西医结合治疗慢性阻塞性肺疾病导致呼吸衰竭的临床研究
